Year,USA
1949,0.051
1950,0.049
1951,0.097
1952,0.133
1953,0.130
1954,0.112
1955,0.097
1956,0.095
1957,0.096
1958,0.097
1959,0.090
1960,0.086
1961,0.088
1962,0.089
1963,0.085
1964,0.077
1965,0.072
1966,0.081
1967,0.091
1968,0.089
1969,0.083
1970,0.077
1971,0.066
1972,0.063
1973,0.057
1974,0.057
1975,0.054
1976,0.050
1977,0.050
1978,0.048
1979,0.048
1980,0.050
1981,0.054
1982,0.066
1983,0.060
1984,0.059
1985,0.061
1986,0.063
1987,0.061
1988,0.057
1989,0.055
1990,0.053
1991,0.046
1992,0.047
1993,0.043
1994,0.039
1995,0.036
1996,0.034
1997,0.032
1998,0.030
1999,0.029
2000,0.029
2001,0.029
2002,0.032
2003,0.036
2004,0.038
2005,0.038
2006,0.038
2007,0.038
2008,0.042
2009,0.046
2010,0.047
2011,0.046
2012,0.042
2013,0.038
2014,0.035
2015,0.033
2016,0.032
2017,0.031
